"birthday","prob"
"01-01",0.00303529169667661
"01-02",0.00282950920876633
"01-03",0.00308673731865418
"01-04",0.00272661796481119
"01-05",0.00349830229447474
"01-06",0.00298384607469904
"01-07",0.00318962856260932
"01-08",0.00298384607469904
"01-09",0.00257228109887849
"01-10",0.00298384607469904
"01-11",0.00267517234283362
"01-12",0.00308673731865418
"01-13",0.00262372672085606
"01-14",0.00262372672085606
"01-15",0.00236649861096821
"01-16",0.00318962856260932
"01-17",0.00318962856260932
"01-18",0.00272661796481119
"01-19",0.00277806358678876
"01-20",0.00262372672085606
"01-21",0.00313818294063175
"01-22",0.00210927050108036
"01-23",0.00298384607469904
"01-24",0.00277806358678876
"01-25",0.00226360736701307
"01-26",0.00241794423294578
"01-27",0.00272661796481119
"01-28",0.00293240045272147
"01-29",0.00226360736701307
"01-30",0.00226360736701307
"01-31",0.00324107418458689
"02-01",0.00303529169667661
"02-02",0.00298384607469904
"02-03",0.0022121617450355
"02-04",0.00226360736701307
"02-05",0.00200637925712522
"02-06",0.00216071612305793
"02-07",0.00298384607469904
"02-08",0.00226360736701307
"02-09",0.00277806358678876
"02-10",0.00370408478238502
"02-11",0.00231505298899064
"02-12",0.00329251980656446
"02-13",0.00349830229447474
"02-14",0.0028809548307439
"02-15",0.00293240045272147
"02-16",0.00262372672085606
"02-17",0.00246938985492335
"02-18",0.00282950920876633
"02-19",0.00236649861096821
"02-20",0.00277806358678876
"02-21",0.00252083547690092
"02-22",0.00349830229447474
"02-23",0.00236649861096821
"02-24",0.00257228109887849
"02-25",0.00282950920876633
"02-26",0.00252083547690092
"02-27",0.0022121617450355
"02-28",0.00267517234283362
"03-01",0.00252083547690092
"03-02",0.00298384607469904
"03-03",0.00282950920876633
"03-04",0.00334396542854203
"03-05",0.00313818294063175
"03-06",0.00226360736701307
"03-07",0.00272661796481119
"03-08",0.00262372672085606
"03-09",0.00267517234283362
"03-10",0.00277806358678876
"03-11",0.00241794423294578
"03-12",0.00349830229447474
"03-13",0.00298384607469904
"03-14",0.00257228109887849
"03-15",0.00272661796481119
"03-16",0.00277806358678876
"03-17",0.00226360736701307
"03-18",0.00272661796481119
"03-19",0.00180059676921494
"03-20",0.00293240045272147
"03-21",0.00241794423294578
"03-22",0.00282950920876633
"03-23",0.00236649861096821
"03-24",0.00257228109887849
"03-25",0.00262372672085606
"03-26",0.00236649861096821
"03-27",0.00293240045272147
"03-28",0.00200637925712522
"03-29",0.00257228109887849
"03-30",0.00190348801317008
"03-31",0.00236649861096821
"04-01",0.00262372672085606
"04-02",0.00257228109887849
"04-03",0.00262372672085606
"04-04",0.00298384607469904
"04-05",0.00210927050108036
"04-06",0.00226360736701307
"04-07",0.00252083547690092
"04-08",0.00360119353842988
"04-09",0.00257228109887849
"04-10",0.00282950920876633
"04-11",0.0028809548307439
"04-12",0.00334396542854203
"04-13",0.0022121617450355
"04-14",0.00267517234283362
"04-15",0.0022121617450355
"04-16",0.00246938985492335
"04-17",0.0022121617450355
"04-18",0.00277806358678876
"04-19",0.00272661796481119
"04-20",0.00257228109887849
"04-21",0.00236649861096821
"04-22",0.00236649861096821
"04-23",0.00210927050108036
"04-24",0.00226360736701307
"04-25",0.00308673731865418
"04-26",0.00267517234283362
"04-27",0.00246938985492335
"04-28",0.00252083547690092
"04-29",0.0028809548307439
"04-30",0.00174915114723737
"05-01",0.00241794423294578
"05-02",0.00180059676921494
"05-03",0.00210927050108036
"05-04",0.00252083547690092
"05-05",0.00241794423294578
"05-06",0.00272661796481119
"05-07",0.00185204239119251
"05-08",0.00180059676921494
"05-09",0.00298384607469904
"05-10",0.00282950920876633
"05-11",0.00241794423294578
"05-12",0.00308673731865418
"05-13",0.00324107418458689
"05-14",0.00252083547690092
"05-15",0.00257228109887849
"05-16",0.00226360736701307
"05-17",0.00216071612305793
"05-18",0.00257228109887849
"05-19",0.00262372672085606
"05-20",0.00262372672085606
"05-21",0.0028809548307439
"05-22",0.00252083547690092
"05-23",0.00298384607469904
"05-24",0.00313818294063175
"05-25",0.00324107418458689
"05-26",0.00236649861096821
"05-27",0.0022121617450355
"05-28",0.00252083547690092
"05-29",0.00216071612305793
"05-30",0.00236649861096821
"05-31",0.0016977055252598
"06-01",0.00272661796481119
"06-02",0.00241794423294578
"06-03",0.00231505298899064
"06-04",0.00272661796481119
"06-05",0.00246938985492335
"06-06",0.00277806358678876
"06-07",0.00236649861096821
"06-08",0.00246938985492335
"06-09",0.00226360736701307
"06-10",0.00241794423294578
"06-11",0.00200637925712522
"06-12",0.00226360736701307
"06-13",0.00216071612305793
"06-14",0.0022121617450355
"06-15",0.0028809548307439
"06-16",0.00262372672085606
"06-17",0.00205782487910279
"06-18",0.00205782487910279
"06-19",0.00252083547690092
"06-20",0.00262372672085606
"06-21",0.0016977055252598
"06-22",0.00257228109887849
"06-23",0.00210927050108036
"06-24",0.00205782487910279
"06-25",0.00210927050108036
"06-26",0.00226360736701307
"06-27",0.00272661796481119
"06-28",0.00272661796481119
"06-29",0.00303529169667661
"06-30",0.00246938985492335
"07-01",0.00277806358678876
"07-02",0.0022121617450355
"07-03",0.00298384607469904
"07-04",0.00277806358678876
"07-05",0.00241794423294578
"07-06",0.00236649861096821
"07-07",0.0028809548307439
"07-08",0.00349830229447474
"07-09",0.00272661796481119
"07-10",0.00257228109887849
"07-11",0.00210927050108036
"07-12",0.00267517234283362
"07-13",0.00267517234283362
"07-14",0.00298384607469904
"07-15",0.00318962856260932
"07-16",0.00216071612305793
"07-17",0.00195493363514765
"07-18",0.00267517234283362
"07-19",0.00293240045272147
"07-20",0.00246938985492335
"07-21",0.00277806358678876
"07-22",0.00246938985492335
"07-23",0.00236649861096821
"07-24",0.00195493363514765
"07-25",0.00205782487910279
"07-26",0.00303529169667661
"07-27",0.00318962856260932
"07-28",0.00190348801317008
"07-29",0.00241794423294578
"07-30",0.00267517234283362
"07-31",0.0028809548307439
"08-01",0.00262372672085606
"08-02",0.00262372672085606
"08-03",0.00257228109887849
"08-04",0.00411564975820558
"08-05",0.00282950920876633
"08-06",0.00293240045272147
"08-07",0.00303529169667661
"08-08",0.00293240045272147
"08-09",0.00329251980656446
"08-10",0.00303529169667661
"08-11",0.0028809548307439
"08-12",0.00298384607469904
"08-13",0.00324107418458689
"08-14",0.00257228109887849
"08-15",0.00396131289227287
"08-16",0.00298384607469904
"08-17",0.00365263916040745
"08-18",0.00313818294063175
"08-19",0.0028809548307439
"08-20",0.00293240045272147
"08-21",0.0033954110505196
"08-22",0.00303529169667661
"08-23",0.00344685667249717
"08-24",0.00303529169667661
"08-25",0.00344685667249717
"08-26",0.00298384607469904
"08-27",0.0033954110505196
"08-28",0.00262372672085606
"08-29",0.0033954110505196
"08-30",0.00365263916040745
"08-31",0.00375553040436259
"09-01",0.00262372672085606
"09-02",0.00282950920876633
"09-03",0.00272661796481119
"09-04",0.00298384607469904
"09-05",0.00334396542854203
"09-06",0.0028809548307439
"09-07",0.00308673731865418
"09-08",0.00246938985492335
"09-09",0.00298384607469904
"09-10",0.00277806358678876
"09-11",0.00277806358678876
"09-12",0.00313818294063175
"09-13",0.00293240045272147
"09-14",0.00226360736701307
"09-15",0.00313818294063175
"09-16",0.00318962856260932
"09-17",0.00329251980656446
"09-18",0.00252083547690092
"09-19",0.00324107418458689
"09-20",0.00226360736701307
"09-21",0.00313818294063175
"09-22",0.0039098672702953
"09-23",0.00252083547690092
"09-24",0.00324107418458689
"09-25",0.00293240045272147
"09-26",0.00267517234283362
"09-27",0.0028809548307439
"09-28",0.00385842164831773
"09-29",0.00308673731865418
"09-30",0.00313818294063175
"10-01",0.00267517234283362
"10-02",0.00308673731865418
"10-03",0.00318962856260932
"10-04",0.00370408478238502
"10-05",0.00262372672085606
"10-06",0.00360119353842988
"10-07",0.00298384607469904
"10-08",0.00318962856260932
"10-09",0.0028809548307439
"10-10",0.00334396542854203
"10-11",0.00257228109887849
"10-12",0.0033954110505196
"10-13",0.00293240045272147
"10-14",0.00354974791645231
"10-15",0.00262372672085606
"10-16",0.00282950920876633
"10-17",0.00303529169667661
"10-18",0.00334396542854203
"10-19",0.00318962856260932
"10-20",0.00231505298899064
"10-21",0.00262372672085606
"10-22",0.00282950920876633
"10-23",0.00231505298899064
"10-24",0.00313818294063175
"10-25",0.00324107418458689
"10-26",0.00318962856260932
"10-27",0.00313818294063175
"10-28",0.00272661796481119
"10-29",0.00231505298899064
"10-30",0.00344685667249717
"10-31",0.00293240045272147
"11-01",0.00313818294063175
"11-02",0.00293240045272147
"11-03",0.00267517234283362
"11-04",0.00329251980656446
"11-05",0.00303529169667661
"11-06",0.00272661796481119
"11-07",0.00277806358678876
"11-08",0.00205782487910279
"11-09",0.00344685667249717
"11-10",0.00318962856260932
"11-11",0.00308673731865418
"11-12",0.00231505298899064
"11-13",0.00298384607469904
"11-14",0.00200637925712522
"11-15",0.00293240045272147
"11-16",0.00267517234283362
"11-17",0.00303529169667661
"11-18",0.00401275851425044
"11-19",0.00272661796481119
"11-20",0.00308673731865418
"11-21",0.00272661796481119
"11-22",0.00226360736701307
"11-23",0.00354974791645231
"11-24",0.00277806358678876
"11-25",0.00272661796481119
"11-26",0.00308673731865418
"11-27",0.00210927050108036
"11-28",0.00303529169667661
"11-29",0.00257228109887849
"11-30",0.00252083547690092
"12-01",0.00282950920876633
"12-02",0.00205782487910279
"12-03",0.00298384607469904
"12-04",0.00282950920876633
"12-05",0.00293240045272147
"12-06",0.00267517234283362
"12-07",0.00241794423294578
"12-08",0.00231505298899064
"12-09",0.0028809548307439
"12-10",0.00344685667249717
"12-11",0.00267517234283362
"12-12",0.00200637925712522
"12-13",0.00277806358678876
"12-14",0.00318962856260932
"12-15",0.00231505298899064
"12-16",0.00246938985492335
"12-17",0.0028809548307439
"12-18",0.00272661796481119
"12-19",0.00329251980656446
"12-20",0.00298384607469904
"12-21",0.00318962856260932
"12-22",0.00293240045272147
"12-23",0.00308673731865418
"12-24",0.00216071612305793
"12-25",0.00354974791645231
"12-26",0.0028809548307439
"12-27",0.00246938985492335
"12-28",0.00205782487910279
"12-29",0.00226360736701307
"12-30",0.00205782487910279
"12-31",0.00216071612305793
